read_header > 
read_header < err=0
dump_header > 
	code = 'MDTG' version=[0] 
	record_unit_size=[80], base_odometer=[0], trip_cnt=[6]
	offset[0]=[952]
	offset[1]=[13032]
	offset[2]=[17192]
	offset[3]=[70712]
	offset[4]=[105752]
	offset[5]=[145992]
	slack_cnt=[10], slack_unit_size=[24]
	slack[0]=[10-0001-00]
	slack[1]=[1K25MD08000007]
	slack[2]=[00000000]
	slack[3]=[K00000000000]
	slack[4]=[0000000000]
	slack[5]=[##########00000000]
	slack[6]=[K00000000000000]
	slack[7]=[12가3456]
	slack[8]=[1234567890]
	slack[9]=[12가3457]
dump_header < err=0
offset,tripid,approval,serial,vehicle_id,vehicle_type,vehicle_plate,provider_code,driver_code,odometerday,odometer,YYMMDD_HHMMSS,vss_tick,rpm_tick,brake_pressure,latitude,longtitude,true_course,accelx,accely,accelz
5512,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:47],0,0,0,37525588,126889824,0,-6.7,100.0,-11.3
5592,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:48],0,0,0,37525588,126889824,0,-6.7,100.0,-11.2
5672,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:49],0,0,0,37525588,126889824,0,-6.7,100.0,-11.2
5752,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:50],0,0,0,37525588,126889824,0,-6.7,100.0,-11.4
5832,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:51],0,0,0,37525588,126889824,0,-6.7,100.0,-11.4
5912,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:52],0,0,0,37525588,126889824,0,-6.7,100.0,-11.4
5992,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:53],0,0,0,37525588,126889824,0,-6.6,100.0,-11.3
6072,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:54],0,0,0,37525588,126889824,0,-6.7,100.0,-11.4
6152,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:55],0,0,0,37525588,126889824,0,-6.7,100.0,-11.3
6232,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:56],0,0,0,37525588,126889824,0,-6.7,100.0,-11.2
6312,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:57],0,0,0,37525588,126889824,0,-6.7,100.0,-11.4
6392,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:58],0,0,0,37525588,126889824,0,-6.6,100.0,-11.3
6472,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:50:59],0,0,0,37525588,126889824,0,-6.6,100.0,-11.3
6552,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:0],0,0,0,37525588,126889824,0,-6.6,100.0,-11.3
6632,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:1],0,0,0,37525588,126889824,0,-6.6,100.0,-11.3
6712,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:2],0,0,0,37525640,126889736,293,-6.7,100.0,-11.3
6792,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:3],0,0,0,37525648,126889720,301,-6.6,100.0,-8.2
6872,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:4],0,0,0,37525652,126889720,300,-6.6,100.0,-7.2
6952,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:5],0,0,0,37525656,126889696,310,-6.6,100.0,-7.1
7032,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:6],0,0,0,37525656,126889696,310,-6.6,100.0,-7.1
7112,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:7],0,0,0,37525656,126889696,310,-6.6,100.0,-7.1
7192,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:8],0,0,0,37525656,126889696,310,-6.5,100.0,-7.1
7272,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:9],0,0,0,37525656,126889696,310,-6.5,100.0,-7.1
7352,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:10],0,0,0,37525656,126889696,310,-6.5,100.0,-7.0
7432,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:11],0,0,0,37525656,126889696,310,-6.7,100.0,-7.1
7512,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:12],0,0,0,37525656,126889696,310,-6.5,100.0,-7.1
7592,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:13],0,0,0,37525656,126889696,310,-6.6,100.0,-7.6
7672,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:14],0,0,0,37525656,126889696,310,-6.7,100.0,-9.3
7752,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:15],0,0,0,37525656,126889696,310,-6.7,100.0,-8.1
7832,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:16],0,0,0,37525656,126889696,310,-6.7,100.0,-8.6
7912,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:17],0,0,0,37525656,126889696,310,-6.6,100.0,-8.7
7992,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:18],0,0,0,37525656,126889696,310,-6.7,100.0,-9.8
8072,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:19],0,0,0,37525656,126889696,310,-6.7,100.0,-9.3
8152,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:20],0,0,0,37525656,126889696,310,-6.7,100.0,-10.0
8232,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:21],0,0,0,37525656,126889696,310,-6.7,100.0,-10.6
8312,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:22],0,0,0,37525656,126889696,310,-6.7,100.0,-11.2
8392,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:23],0,0,0,37525656,126889696,310,-6.7,100.0,-10.7
8472,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:24],0,0,0,37525656,126889696,310,-6.8,100.0,-11.6
8552,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:25],0,0,0,37525656,126889696,310,-6.7,100.0,-11.8
8632,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:26],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
8712,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:27],0,0,0,37525656,126889696,310,-6.7,100.0,-11.6
8792,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:28],0,0,0,37525656,126889696,310,-6.7,100.0,-11.6
8872,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:29],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
8952,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:30],0,0,0,37525656,126889696,310,-6.7,100.0,-11.6
9032,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:31],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
9112,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:32],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
9192,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:33],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
9272,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:34],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
9352,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:35],0,0,0,37525656,126889696,310,-6.8,100.0,-11.7
9432,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:36],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
9512,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:37],0,0,0,37525656,126889696,310,-6.7,100.0,-11.6
9592,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:38],0,0,0,37525656,126889696,310,-6.8,100.0,-11.6
9672,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:39],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
9752,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:40],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
9832,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:41],0,0,0,37525656,126889696,310,-6.8,100.0,-11.6
9912,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:42],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
9992,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:43],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
10072,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:44],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
10152,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:45],0,0,0,37525656,126889696,310,-6.7,100.0,-11.7
10232,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:46],0,0,0,37525656,126889696,310,-6.7,100.0,-9.2
10312,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:47],0,0,0,37525656,126889696,310,-6.7,100.0,-7.9
10392,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:48],0,0,0,37525656,126889696,310,-6.6,100.0,-7.7
10472,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:49],0,0,0,37525656,126889696,310,-6.6,100.0,-7.6
10552,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:50],0,0,0,37525656,126889696,310,-6.6,100.0,-7.6
10632,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:51],0,0,0,37525656,126889696,310,-6.6,100.0,-7.6
10712,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:52],0,0,0,37525656,126889696,310,-6.7,100.0,-7.6
10792,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:53],0,0,0,37525656,126889696,310,-6.6,100.0,-7.6
10872,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:54],0,0,0,37525656,126889696,310,-6.6,100.0,-7.6
10952,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:55],0,0,0,37525656,126889696,310,-6.7,100.0,-7.6
11032,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:56],0,0,0,37525656,126889696,310,-6.7,100.0,-7.4
11112,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:57],0,0,0,37525656,126889696,310,-6.7,100.0,-7.4
11192,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:58],0,0,0,37525656,126889696,310,-6.7,100.0,-7.7
11272,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:51:59],0,0,0,37525656,126889696,310,-6.7,100.0,-8.6
11352,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:52:0],0,0,0,37525656,126889696,310,-6.6,100.0,-8.3
11432,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:52:1],0,0,0,37525656,126889696,310,-6.7,100.0,-8.8
11512,1,10-0001-00,1K25MD08000007,00000000,31,K00000000000,0000000000,##########00000000,0,0,[2022/10/25_5:52:2],0,0,0,37525656,126889696,310,-6.7,100.0,-9.1
